polarity,user,tweet,hashtag
-0.08888888888888889,1765853019390775708,Tonight Im going to be doing the role on The State of the Union that the Media should be doing but wont because they are corrupt and compromised TUNE INTO TRUTH SOCIAL THE REAL VOICE OF AMERICADJT Trump2024,#Trump2024
0.0,1765852952198099307,lawfare Trump2024,#Trump2024
0.0,1765852882568458308,Jamiefaith1F Trump2024,#Trump2024
0.0,1765852879359775012,ResisterSis20 Trump2024 baby,#Trump2024
0.2,1765852873017991262,AaronParnas GlennYoungkin LevarStoney Did you do a survey of all Virginia residents Is there a reason you think you can speak for all of them We know that 435963 Virginians voted for Pres Trump in the recent primary That number is probably not ashamed of Gov Youngkin 307176 voted for Biden Trump2024,#Trump2024
0.375,1765852859239698846,yourcryptodj Im excited to join you on this journey fellow patriot Lets come together and propel Trump to the moon and beyond Trumpwifhat Trump2024 wif Trump Trumpwifhat,#Trump2024
0.0,1765852823885910143,Dolandrc TRUMP2024 heryerde Neyse patentimi aktm Donsuz yakalananlar topluluu diyelim shshshshdh,#Trump2024
0.0,1765852751957807393,TrumpWarRoom MAGA 2024 Trump2024,#Trump2024
0.0,1765852695020118428,Trump2024,#Trump2024
0.0,1765852663759921630,TeamTrump BRING BACK THE BOSS Trump2024,#Trump2024
0.0,1765852645741531595,GOP TrumpWarRoom TRUMP2024 MAGA,#Trump2024
0.0,1765852578871648407,Florida Sheriff 21 Suspected Illegals Among 228 Arrested in Human Trafficking Sting Trump2024,#Trump2024
0.0,1765852576313114797,SOTU Biden to Announce US Will Build Port in Gaza for Aid Imports Trump2024,#Trump2024
-0.45,1765852573930856459,House Approves Laken Riley Act Mandating DHS Detain Criminal Illegal Aliens Trump2024,#Trump2024
0.0,1765852569749106955,Alabama Legislature Passes IVF Fix on Eve of Katie Britt SOTU GOP Response Trump2024,#Trump2024
0.75,1765852566368501812,Coons Joe Biden Will Talk About How He Successfully Brought Us Together Trump2024,#Trump2024
0.16666666666666666,1765852437175280119,michaelt5656 lol youre not a Republican just a shill and likely a bot attempting to dissuade Americans of a common sense vote for TrumpTrump2024,#Trump2024
0.0,1765852426995691898,KMGGaryde Keeping optimistic Trump2024,#Trump2024
0.0,1765852391054692633,Franktheshank88 End Trump2024,#Trump2024
0.0,1765852282044682705,RONNYJACKSON RonnyJacksonTXT RepRonnyJackson RepublicansLieAboutEverything RepublicansLieAboutEverything texas tedcruz TexasNewsTSTV TexasNewsHound dallasnewsnow AustinNewsam FtWorthNews houstoneweek HoustonNews satxnews Trump2024,#Trump2024
0.16666666666666669,1765852205960089703,I wont be going to see Trump Saturday The building he will be in seats less than 4000 people for a concert When I saw him at the airport with 30000 I was on my feet for 9 hours but my adrenaline was up and I didnt notice Its one of my favorite memories trump2024,#Trump2024
-0.3333333333333333,1765852151392170156,Biden with all Democrats have acted with total intention of destroying America because they HATE Americans Treason IllegalAliens Trump2024,#Trump2024
0.25,1765852146677727676,CryptoTony Lets band together and make Trump the symbol of financial freedom and strength This is more than just a token its a movement Trumpwifhat Trump2024 Trumpwifhat,#Trump2024
-0.18749999999999994,1765852134241616019,BidensWins Anybody notice how bad Joe S looks Maybe the sleepless nights from wondering how long it is before a real investigation is done into the dead intern in his office Murder has no statute of limitations Trump2024 MAGA,#Trump2024
-0.1,1765852107217797508,ProudElephantUS Not really but there remains a shitload of Hateful antiAmerican freeloading traitors that believe this diminutive lgb queen no matter what SmhTRUMP2024 MAGA,#Trump2024
